DATE;Temperature °C;Humidity %;WindDirection °;WindSpeed m/s;Pressure hPa;LowClouds %;MediumClouds %;HighClouds %;Fog %;WindGust m/s;DewPointTemperature °C;Cloudiness %;Precipitation mm;DirectSunPower kW/m²;DiffuseSunPower kW/m²;SunAltitude °;SunAzimuth °;DirectSunPowerVertical kW/m²
04-10-2020 12:00:00;"15,90";"86,70";"220,30";"3,20";"995,20";13;67;100;0;"5,30";"13,80";100;0;"0,09";"0,12";"29,35";"171,85";"0,17"
04-10-2020 13:00:00;"16,50";83;"235,10";3;"995,30";"0,10";"34,60";"99,90";0;"5,90";"13,80";"99,90";0;"0,17";"0,15";"29,27";"189,01";"0,31"
04-10-2020 14:00:00;"16,70";"75,50";"231,90";"2,60";"995,90";0;15;99;0;"5,10";"12,50";"99,10";0;"0,20";"0,14";"26,74";"205,71";"0,41"
04-10-2020 15:00:00;"16,30";"77,10";"192,40";2;"996,70";0;25;100;0;"4,70";"12,30";100;0;"0,13";"0,12";"22,07";"221,32";"0,32"
04-10-2020 16:00:00;"15,60";"84,60";"148,60";"1,90";"997,10";0;"8,60";100;0;"3,20";"13,20";100;0;"0,07";"0,08";"15,77";"235,65";"0,25"
04-10-2020 17:00:00;"15,40";"83,10";"142,10";"2,70";"997,70";"0,10";1;"99,40";0;"4,50";"12,60";"99,40";0;"0,03";"0,03";"8,34";"248,91";"0,19"
04-10-2020 18:00:00;"15,70";"82,30";"165,80";"2,70";"998,40";"19,40";0;"61,30";0;"4,70";"12,70";"68,70";0;0;0;"0,55";"261,48";"0,19"
04-10-2020 19:00:00;"14,60";"82,40";"201,70";"2,10";"998,70";"0,70";0;"68,40";0;"4,30";"11,70";"68,60";0;0;0;0;0;0
04-10-2020 20:00:00;"13,50";"78,40";"189,70";"2,10";"999,60";"1,60";0;"3,30";0;"3,90";"9,90";"4,90";0;0;0;0;0;0
04-10-2020 21:00:00;"12,70";"80,40";"178,10";"1,80";"1.000,60";"13,40";0;0;0;"3,20";"9,40";"13,40";0;0;0;0;0;0
04-10-2020 22:00:00;"12,80";"81,70";"192,50";"2,20";"1.001,40";46;1;0;0;"3,60";"9,80";"46,60";0;0;0;0;0;0
04-10-2020 23:00:00;"12,60";85;"201,40";"2,20";1.002;"36,70";"3,70";0;0;"3,70";"10,20";"38,30";0;0;0;0;0;0
05-10-2020 00:00:00;"11,30";"87,70";"180,70";"1,80";"1.002,70";"8,80";"0,20";0;0;"3,10";"9,40";"8,90";0;0;0;0;0;0
05-10-2020 01:00:00;11;"88,80";"185,10";"1,60";"1.003,10";"4,60";0;0;0;"2,90";"9,20";"4,50";0;0;0;0;0;0
